id,"manufacturer_accrual","category","plan_name","details",company_id,"company_name","expiration",participation_percentage,"external_id","created_at","updated_at"
104,"5%","Housewares and Household Supplies","","Corporate Address
101 Prospect Ave.
Cleveland, OH 44115
Fax: (216) 830-7777
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Authorized dealers only.
Products
coatings; concrete care products; enamel paint; fence care products; lubricants; waterproofing products; wood care products
Trademarks
Thompson's Applicator Center; Thompson's Concrete Care; Thompson's Fence Care; Thompson's Water Seal
Timing
Program: Calendar year
Accrual: Calendar year
Claim: Within 60 days of ad run
Accrual
5%
Participation
Manufacturer: 100%
Eligible Media
CatalogCircularDirect MailFlyerNewspaperNewspaper InsertRadioTVWeekly Newspaper
Advertising Specifications
-Manufacturer's products must be clearly separated from other products.-Manufacturer's share of omnibus ads must be easily measurable.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Not misleading.
Media Requirements
-Newspaper: audited circulation; audited rates; broad general interest; serving retailer's primary trading area-Newspaper Insert: audited circulation; audited rates; broad general interest; serving retailer's primary trading area-Radio: prior approval required-TV: prior approval required-Weekly Newspaper: audited circulation; audited rates; broad general interest; serving retailer's primary trading area
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Check
Claim Documentation
-All Media: paid media invoice-Catalog: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Circular: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Direct Mail: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Flyer: affidavit of distribution; complete copy of piece; paid printer's invoice; postal receipt-Newspaper: full page tearsheet-Newspaper Insert: affidavit of distribution; complete copy of piece; paid printer's invoice-Radio: ANA/RAB * electronic tearsheet; prior approval documentation; script-TV: ANA/TvB * electronic tearsheet; prior approval documentation; script-Weekly Newspaper: full page tearsheet
Claim Address
Indirect retailers submit claim to wholesaler.",84,"The Thompson's Company","12/31",100,"2780-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
105,"See Full Citation","Pharmaceuticals and Health Care Supplies","","Corporate Address
707 Sterling Dr.
Orchard Park, NY 14127
Fax: (716) 677-9531
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
Over-the-counter drugs
Trademarks
Fletcher's Castoria; Mentholatum Cherry Chest Rub for Kids; Mentholatum Deep Heating Rub; Mentholatum Ointment; Migraine Ice; Natural Ice Cherry Flavor Lipbalm; Natural Ice Spf 30 Sport Lipbalm; Natural Medicated Lipbalm; Oxi Acne Treatment; Oxi Acne Wash; Oxi Cleaning Pads; Red Cross Canker Sore Medication; Red Cross Toothache Medication; Rohto Z Eyedrops; Snug Denture Cushions; Softlips Cool Cherry Lip Protectant; Softlips French Vanilla Sunscreen/Lip Protectant; Softlips Moisture Lip Protectant; Softlips Stey & Mango Nutte Enriched; Softlips Strawberry Sherbert; Softlips Sunsation Passionate Fruit; Softlips Sunsation Pino Colada; Soptlips Mint Delight; Wellpatch Arthritis Pain Relieving Pads; Wellpatch Cough & Cold Soothing Vapor Pads; Wellpatch Heat Warming Pads; Wellpatch Migraine Cooling Head Pads; Wellpatch Pain Reliaving Pads
Timing
Claim: Within 45 days of ad run
Participation
Manufacturer: 100%
Eligible Media
CircularNewspaperWeekly Newspaper
Advertising Specifications
-All advertising requires prior approval.-Products must be illustrated.-Trademark name must be prominent.-Store name and address.
Media Requirements
-Newspaper: paid circulation; serving retailer's primary trading area-Weekly Newspaper: 2nd-class mailing permit; audited circulation; audited rates; serving retailer's primary trading area
Reimbursement Method
Check
Claim Documentation
-Newspaper: full page tearsheet; proof of purchase-Weekly Newspaper: full page tearsheet; proof of purchase
Claim Address
Send claim to manufacturer's local representative.",87,"The Mentholatum Company","06/30",100,"2755-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
106,"See Full Citation","Photographic Equipment and Supplies","","Corporate Address
1111 W. Walnut St.
Compton, CA 90220
Fax: (310) 608-7418
programs matching search criteria   other programsPlan 1 - Wholesaler
Type
Wholesaler
Special Instructions
Contact mfr. for information regarding program.
Products
acrylics; albums; matboards; photo mounts; table top frames; wall portrait frames
Trademarks
Impressario; Levin
Timing
Program: Seasonal
Participation
Manufacturer: 100%
Eligible Media
CircularInternet
Claim Address
1111 W. Walnut St.
Compton, CA 90220",86,"The Levin Company, Inc.","09/30",100,"2748-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
107,"See Full Citation","Insurance","Broker Co-op Plan","Corporate Address
Seven Hanover Sq., H-26-E
New York, NY 10004
Fax: (212) 919-2790
Toll Free: (888) 600-4667
programs matching search criteria   other programsPlan 1 - Broker
Name
Broker Co-op Plan
Type
Broker
Products
life insurance
Trademarks
Guardian Life
Timing
Program: Calendar year
Participation
Manufacturer: 100%
Eligible Media
MagazineNewspaperRadioTV
Reimbursement Method
Check
Claim Address
Seven Hanover Sq., H-26-E
New York, NY 10004",85,"The Guardian Life Insurance Co. of America","12/31",100,"2737-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
108,"2%","Building Materials","","Corporate Address
P.O. Box 4004
West Columbia, SC 29171
Fax: (803) 822-8547
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Products
aluminum frame screens; door seal; economy thresholds; patio doors; standard thresholds; storm doors & storm windows; universal patio screen doors
Trademarks
Loxcreen
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
2%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
CircularNewspaperRadioShopperWeekly Newspaper
Advertising Specifications
-Manufacturer's products only; no omnibus ads.-No competing products.-Prior approval required for advertising material not supplied by manufacturer.-Products must be illustrated.-Manufacturer's logo required.-Trademark name must be prominent.
Advertising Aids
Camera-ready ads; Radio elements
Reimbursement Method
Check
Claim Documentation
-All Media: paid media invoice-Circular: complete copy of piece-Newspaper: full page tearsheet-Radio: script; station affidavit-Shopper: complete copy of piece-Weekly Newspaper: full page tearsheet
Claim Address
P.O. Box 4004
West Columbia, SC 29171",88,"The Loxcreen Co., Inc.","12/31",50,"2749-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
109,"5%","Automotive Aftermarket","","Corporate Address
P.O. Box 471
21 E. Jefferson St.
Waupun, WI 53963
Fax: (920) 324-3388
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Special Instructions
Contact mfr. for details on Rislone Co-op Bonus Plan
Products
oil & fuel additives
Trademarks
Ring Seal; Rislone; Rislone 2-Cycle Oil; Rislone Fuel Injector Cleaner; Shaler; Upgrade
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
5%
Participation
Manufacturer: 100%
lowest earned rate
May Include: Production Charges; Color Charges; Space or Time Only
Eligible Media
CatalogCircularDirect MailFlyerNewspaperNewspaper InsertShopperStatement StufferWeekly Newspaper
Advertising Specifications
-Products must be illustrated.-Trademark name required.
Media Requirements
-All Media: broad general interest
Advertising Aids
Print elements
Reimbursement Method
Credit memo
Claim Documentation
-All Media: indirect retailers must submit wholesaler's invoice; paid media invoice-Catalog: affidavit of distribution; complete copy of piece; paid printer's invoice-Circular: affidavit of distribution; complete copy of piece; paid printer's invoice-Direct Mail: affidavit of distribution; complete copy of piece; paid printer's invoice-Flyer: affidavit of distribution; complete copy of piece; paid printer's invoice-Newspaper: full page tearsheet-Newspaper Insert: affidavit of distribution; complete copy of piece; paid printer's invoice-Shopper: affidavit of distribution; complete copy of piece; paid printer's invoice-Statement Stuffer: affidavit of distribution; complete copy of piece; paid printer's invoice-Weekly Newspaper: full page tearsheet
Claim Address
P.O. Box 471
21 E. Jefferson St.
Waupun, WI 53963",91,"The Shaler Company","12/31",100,"2772-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
110,"See Full Citation","Building Materials","","Corporate Address
1 Security Center Ste. 1300
3490 Piedmont Rd.
Atlanta, GA 30305
Fax: (404) 634-9568
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
packaged cement mixes
Trademarks
Quikrete; Quikwall; Thermo-Lube; Traffic Top
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVCircularNewspaperOutdoorRadioTV
Media Requirements
-All Media: prior approval required
Advertising Aids
Print elements; Radio commercials; Radio elements; TV commercials
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Circular: debit memo or invoice from advertiser; full page tearsheet-Newspaper: debit memo or invoice from advertiser; full page tearsheet-Outdoor: photo-Radio: debit memo or invoice from advertiser; script-TV: ANA/CAB * electronic tearsheet; debit memo or invoice from advertiser; script
Claim Address
Send claim to manufacturer's local representative.",90,"The Quikrete Cos.","12/31",50,"2768-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
111,"See Full Citation","Food and Beverages","","Corporate Address
The Monarch Tower
3424 Peachtree Rd., Ste. 1450
Atlanta, GA 30326
Toll Free: (800) 241-3732
Fax: (404) 262-4001
Phone: (404) 262-4040
programs matching search criteria   other programsPlan 1 - Wholesaler
Type
Wholesaler
Special Instructions
Local sales rep must be contacted for a program to be developed.
Products
soft drink flavor concentrates
Trademarks
Dad's Root Beer; Dr. Well's; Frostie; Grapette; Mason's; Moxie; Nesbitt's; NuGrape; Quench; Sun Crest
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
NewspaperRadiopromotions, coupons
Reimbursement Method
Check
Claim Address
The Monarch Tower
3424 Peachtree Rd., Ste. 1450
Atlanta, GA 30326",89,"The Monarch Beverage Co., Inc.","12/31",50,"2757-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
112,"See Full Citation","Electronics","Mass Merchants Co-op Plan","Corporate Address
6601 Lyons Rd., Bldg. A-7
Coconut Creek, FL 33073
Fax: (954) 596-2000
programs matching search criteria   other programsPlan 1 - Mass Merchants
Name
Mass Merchants Co-op Plan
Type
Mass Merchants
Products
CDG-CG graphics; dual cassette units; karaoke products; toy sing-a-longs
Trademarks
The Singing Machine
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: by Feb. 15
Participation
Manufacturer: 100%
May Include: Space or Time Only
Eligible Media
CatalogDirect MailFlyerNewspaperRadioTVWeekly Newspaper
Advertising Specifications
-Manufacturer's logo required.-Trademark name required.
Reimbursement Method
Check; Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid media invoice-Direct Mail: complete copy of piece; paid media invoice-Flyer: complete copy of piece; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
6601 Lyons Rd., Bldg. A-7
Coconut Creek, FL 33073",93,"The Singing Machine Co., Inc.","12/31",100,"2773-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
113,"0.5%","Jewelry and Watches","","Corporate Address
1440 Broadway, Ste. 4
New York, NY 10018
Fax: (212) 564-7226
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Must have signed contract.
Products
jewelry
Trademarks
Monet
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 90 days of ad run
Accrual
.5%
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
CatalogCity or Regional MagazinesMagazineNewspaperRadioStatement StufferTVWeekly Newspaper
Advertising Specifications
-No competing products.-Manufacturer's products must be clearly separated from other products.-Products must be illustrated.-Trademark name must be prominent.-Not misleading.
Media Requirements
-Radio: prior approval required-TV: prior approval required
Reimbursement Method
Check; Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid printer's invoice-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script-TV: paid media invoice; script-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
Monet Co-op
2 Lonsdale Ave.
Pawtucket, RI 02860
Attn: Tony Macioni",92,"The Monet Group","12/31",50,"2758-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
114,"See Full Citation","Insurance","Broker Program","Corporate Address
1075 Bay St.
Toronto, ON M5S 2W5
Canada
programs matching search criteria   other programsPlan 1 - Broker Program
Name
Broker Program
Type
Broker Program
Products
insurance
Trademarks
The Citadel
Timing
Program: Ongoing
Participation
Manufacturer: 25%
Dealer: 75%
Media Requirements
-All Media: prior approval required
Claim Documentation
-All Media: prior approval documentation
Claim Address
1075 Bay St.
Toronto, ON M5S 2W5
Canada",94,"The Citadel General Assurance Co.","12/31",25,"2715-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
115,"3%","Paints and Wallcoverings","","Corporate Address
11 Hawtherne Pkwy.
Vernon Hills, IL 60061
programs matching search criteria   other programsPlan 1 - Wholesaler
Type
Wholesaler
Products
wood finishing products
Trademarks
Rust-Oleum; Varathane
Timing
Program: Calendar year
Accrual: Calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
3%
Participation
Manufacturer: 100%
with proof of performance
Eligible Media
CircularDirect MailMagazineNewspaperRadioShopperTVWeekly Newspaper
Advertising Specifications
-Only advertising material supplied by manufacturer may be used.-Prior approval required for advertising material not supplied by manufacturer.-Trademark name must be prominent.-Logo prominent.
Media Requirements
-Direct Mail: prior approval required-Magazine: prior approval required-Radio: prior approval required-TV: prior approval required
Advertising Aids
Print elements; Radio elements; TV elements
Reimbursement Method
Check
Claim Documentation
-Circular: complete copy of piece; paid media invoice-Direct Mail: complete copy of piece; paid media invoice-Magazine: complete copy of piece; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-Shopper: complete copy of piece; paid media invoice-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
Attention :
ACB, Inc.
P.O. Box 1919
Momphis
Personnel
Program Contact
Lisa Kleeman
Phone: (847) 367-7700 x2343",96,"Rust-Oleum","12/31",100,"2731-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
116,"See Full Citation","Home Furnishings, Upholstery and Draperies","","Corporate Address
P.O. Box 400
Cloverdale, VA 24077
Fax: (540) 992-3007
programs matching search criteria   other programsPlan 1 - Wholesaler
Type
Wholesaler
Special Instructions
Contact mfr. for adv. aids
Products
wood veneer products
Trademarks
Band-It
Timing
Program: Ongoing
Participation
Manufacturer: 100%
Eligible Media
CircularDirect MailNewspaper
Claim Address
P.O. Box 400
Cloverdale, VA 24077",95,"The Cloverdale Co.","",100,"2716-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
117,"2%","Hardware","","Corporate Address
P.O. Box 8677
Canton, OH 44711
Fax: (330) 453-1111
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Products
abrasive wheels & hole saw; saw blades
Trademarks
Hummers; Independence; Master Cobalt; Metal Devil; The Real McCoy
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: Within 60 days of ad run
Accrual
2%
Participation
Manufacturer: 100%
featured prod. exclusively
Eligible Media
CatalogCircularDirect MailFlyerMagazineNewspaperNewspaper InsertWeekly Newspaperpremium items
Advertising Specifications
-No competing products.
Media Requirements
-Catalog: Distributor catalogs; Other
Reimbursement Method
Credit memo
Claim Documentation
-Catalog: complete copy of piece; paid media invoice-Circular: complete copy of piece; paid media invoice-Direct Mail: complete copy of piece; paid media invoice-Flyer: complete copy of piece; paid media invoice-Magazine: full page tearsheet; local media rate card; paid media invoice-Newspaper: full page tearsheet; local media rate card; paid media invoice
Claim Address
Indirect retailers submit claim to wholesaler.",98,"The M.K. Morse Co.","12/31",100,"2750-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
118,"2%","Toys, Games and Hobbies","","Corporate Address
65 Spring Ln.
Farmington, CT 06032
Fax: (860) 676-8858
programs matching search criteria   other programsPlan 1 - Wholesaler
Type
Wholesaler
Products
arts & crafts products; stained glass making products
Trademarks
Fletcher Terry
Timing
Program: Ongoing
Accrual: Previous calendar year
Accrual
2%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
CatalogFlyer
Advertising Specifications
-Manufacturer's products must be clearly separated from other products.-Manufacturer's share of omnibus ads must be easily measurable.-All advertising requires prior approval.-Manufacturer's logo required.-Trademark name required.-Trademark name must be prominent.-Not misleading.
Advertising Aids
Camera-ready ads; Print elements
Reimbursement Method
Credit memo
Claim Documentation
-Catalog: affidavit of distribution; complete copy of piece; paid media invoice; paid printer's invoice-Flyer: affidavit of distribution; complete copy of piece; paid media invoice; paid printer's invoice
Claim Address
65 Spring Ln.
Farmington, CT 06032",97,"The Fletcher Terry Company","12/31",50,"2732-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
119,"5%","Home Furnishings, Upholstery and Draperies","","Corporate Address
P.O. Box 89
261 Weston St.
Hartford, CT 06141
Fax: (860) 527-3101
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
Mattresses
Trademarks
Gold Bond
Timing
Program: May. 01 - Apr. 30
Advertising: May. 01 - Apr. 30
Claim: Within 60 days of ad run
Accrual
5%
Participation
Manufacturer: 50%
Dealer: 50%
lowest earned rate
Eligible Media
CircularClassified Display AdsFlyerNewspaperOutdoorRadioShopperTVWeekly Newspaper
Advertising Specifications
-No competing products.-Manufacturer's logo required.
Advertising Aids
Camera-ready ads; Radio commercials
Reimbursement Method
Credit memo
Claim Documentation
-Circular: full page tearsheet; paid media invoice-Flyer: full page tearsheet; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Outdoor: paid media invoice; photo-Radio: paid media invoice; script; station affidavit-Shopper: full page tearsheet; paid media invoice-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
P.O. Box 89
261 Weston St.
Hartford, CT 06141",102,"The Standard Mattress Co.","12/31",50,"2777-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
120,"See Full Citation","Insurance","","Corporate Address
P.O. Box 237
Cincinnati, OH 45201
programs matching search criteria   other programsPlan 1
Products
insurance
Trademarks
Ohio National Life
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
Cable TVCatalogCircularClassified Display AdsClassified Line AdsDemonstratorDirect MailExhibitFlyerMagazineNewspaperNewspaper InsertNewspaper TM ListingOutdoorRadioShopperSpecialty ItemStatement StufferTVWeekly NewspaperYellow PagesYellow Pages TM
Reimbursement Method
Check
Claim Address
P.O. Box 237
Cincinnati, OH 45201",101,"The Ohio National Life Insurance Company","12/31",50,"2762-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
121,"See Full Citation","Pet Supplies","","Corporate Address
7106 Wellington Point Rd.
McKinney, TX 75070
Fax: (972) 540-1057
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
Contact mfr. for adv. aids.
Products
pet prods., housewares, cookbooks, books and cosmetics
Trademarks
Bizzy Kitty; Definitive Microwave Cookery II; Foods that Cause You to Lose Weight; Kitty Korner Komber; Magnilife; Microwave Diet Cookbook; Nutri-Surge; The Love Pill
Timing
Program: Ongoing
Participation
Manufacturer: 100%
Eligible Media
CircularMagazineNewspaperNewspaper InsertShopperWeekly Newspaper
Reimbursement Method
Check
Claim Address
7106 Wellington Point Rd.
McKinney, TX 75070",100,"The Magni Group, Inc.","06/30",100,"2751-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
122,"2.5%","Paints and Wallcoverings","","Corporate Address
P.O. Box 2535
1212 Barlow Rd.
Hudson, OH 44236-0035
Fax: (330) 650-1453
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Special Instructions
The cost of all distributor shows, dealer shows, contractor events, catalog charges & other promotional vehicles will be deducted from the co-op fund.
Products
paint additives; exterior wood finishes; exterior wood cleaners & finish removers; solid color stains; semi-transparent stains; brush conditioner
Trademarks
Brush Stuff; CWF; CWF Roof Grade; CWF-UV Cedar; CWF-UV Clear; CWF-UV Redwood; Dekswood; ESP Easy Surface Prep; Easy Mix E-B; Floetrol; Penetrol; PowerLift; Seasonite; Semi-Transparent Deck & Siding Stain; Solid Color Deck & Siding Stain; Stainstrip
Timing
Program: Calendar year
Accrual: Previous calendar year
Advertising: Calendar year
Claim: by Feb. 15
Accrual
2.5%
Participation
Manufacturer: 100%
Eligible Media
CircularDirect MailFlyerMagazineNewspaperNewspaper InsertRadioShopperTVWeekly Newspaper
Advertising Specifications
-Only advertising material supplied by manufacturer may be used.-Prior approval required for advertising material not supplied by manufacturer.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Registry symbol required.-Not misleading.
Media Requirements
-Circular: prior approval for self-produced ads-Magazine: prior approval for self-produced ads-Newspaper: prior approval for self-produced ads-Newspaper Insert: prior approval for self-produced ads-Radio: prior approval for self-produced ads-Shopper: prior approval for self-produced ads-TV: prior approval for self-produced ads-Weekly Newspaper: prior approval for self-produced ads
Advertising Aids
Camera-ready ads; Radio commercials; TV commercials
Reimbursement Method
Credit memo on a quarterly basis
Claim Documentation
-Catalog: complete copy of piece; full page tearsheet; paid media invoice-Circular: complete copy of piece; full page tearsheet; paid media invoice-Direct Mail: affidavit of distribution; complete copy of piece; full page tearsheet; paid media invoice; paid printer's invoice-Flyer: complete copy of piece; full page tearsheet; paid media invoice; paid printer's invoice; proof of performance-Magazine: complete copy of piece; full page tearsheet; paid media invoice-Newspaper: full page tearsheet; paid media invoice-Newspaper Insert: complete copy of piece; full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-Shopper: complete copy of piece; full page tearsheet; paid media invoice-TV: paid media invoice; script; station affidavit-Weekly Newspaper: full page tearsheet; paid media invoice
Claim Address
Attn: Co-op Advertising
The Flood Co.
P.O. Box 2535; 1212 Barlow Rd.
Hudson OH 44236-0035
FAX: (330) 650-1453",99,"The Flood Company","12/31",100,"2733-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
123,"3%","Building Materials","","Corporate Address
One City Centre
St. Louis, MO 63101
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Products
kitchen sinks; laundry & bath tubs; shower bases; shower cabinets; tub/shower fixtures; vanity tops
Trademarks
Shower Tower; Showerwal; Swan; SwanTile; Swanstone; Tubwal
Timing
Program: Oct. 01 - Sep. 30
Advertising: Oct. 01 - Sep. 30
Claim: Within 60 days of ad run
Accrual
3%
Participation
Manufacturer: 50%
Dealer: 50%
May Include: Space or Time Only
Eligible Media
CircularMagazineNewspaperRadioTV
Advertising Specifications
-Only advertising material supplied by manufacturer may be used.
Advertising Aids
Camera-ready ads; Print elements; Radio elements
Reimbursement Method
Check
Claim Documentation
-Circular: affidavit of distribution; complete copy of piece; paid printer's invoice-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-TV: paid media invoice; script; station affidavit
Claim Address
One City Centre
St. Louis, MO 63101",105,"The Swan Corporation","09/30",50,"2778-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
124,"See Full Citation","Automotive Aftermarket","","Corporate Address
1551 Wewatta St.
Denver, CO 80202
 
Mailing Address
P.O. Box 5887
Denver, CO 80217-5887
programs matching search criteria   other programsPlan 1 - Wholesaler
Type
Wholesaler
Products
automotive belts & hoses
Trademarks
Flex-N-Fit; Green Stripe; Micro-V; Powerated; Powergrip; Trailrunner
Timing
Program: May. 01 - Apr. 30
Accrual: Previous calendar year
Advertising: Calendar year
Participation
Manufacturer: 100%
Advertising Specifications
-Only regular, first-line merchandise qualifies.-No competing products.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Slogan required.-Registry symbol required.-Store name and address.-Logo prominent.
Reimbursement Method
Credit memo
Claim Address
Gates Promotional Program
Attn: Debra Peters
24397 Alsea Hwy.
Philomath",104,"Gates Corp.","04/30",100,"2734-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
125,"2%","Sporting Goods, Apparel, Accessories and Supplies","","Corporate Address
P.O. Box 1917
Auburn, WA 98071-1917
Fax: (253) 852-2794
programs matching search criteria   other programsPlan 1 - Retailer/Wholesaler
Type
Retailer/Wholesaler
Products
fishing tackle & accessories
Trademarks
Danco; Danielson
Timing
Program: Sep. 01 - Aug. 31
Accrual: Sep. 01 - Aug. 31
Advertising: Sep. 01 - Aug. 31
Claim: Within 60 days of ad run
Accrual
2%
Participation
Manufacturer: 50%
Dealer: 50%
Eligible Media
CircularNewspaperRadioTVWeekly Newspaper
Advertising Specifications
-Only regular, first-line merchandise qualifies.-Products must be illustrated.-Manufacturer's logo required.-Trademark name required.-Not misleading.
Advertising Aids
Print elements; Radio elements
Reimbursement Method
Credit memo
Claim Documentation
-All Media: paid media invoice-Circular: complete copy of piece-Newspaper: full page tearsheet-Radio: script-TV: script-Weekly Newspaper: full page tearsheet
Claim Address
P.O. Box 1917
Auburn, WA 98071-1917",103,"The Danielson Company","08/31",50,"2723-1","2009-05-18 17:46:36","2009-05-18 17:48:11"
126,"See Full Citation","Apparel and Accessories - Women","","Corporate Address
555 Chabanel St. W., #1407
Montreal, PQ H2N 2H8
Canada
programs matching search criteria   other programsPlan 1 - Retailer
Type
Retailer
Products
ladies' fashions
Trademarks
Simon Chang Concepts
Timing
Program: Ongoing
Participation
Manufacturer: 100%
Eligible Media
MagazineNewspaperTVTrade shows; Internet
Claim Address
555 Chabanel St. W., #1407
Montreal, PQ H2N 2H8
Canada",108,"Simon Chang Concepts","",100,"2490-1","2009-05-18 17:46:37","2009-05-18 17:48:12"
127,"See Full Citation","Optical","","Corporate Address
260 Cannon St.
Green Island, NY 12183
Fax: (888) 965-4584
Phone: (518) 270-3173
Claim Fax: (888) 965-4584
programs matching search criteria   other programsPlan 1 - Retailer
Products
Fashion eyewear & sunglasses
Trademarks
Adidas; Daniel Swarorski Crystal Eyewear; Silhouette Optical
Accrual
Net purchases if min. purchase of 150 units form last year 5%
Participation
May Include: All Costs of Advertising
Eligible Media
BrochureCable TVDirect MailFlyerMagazineNewsletterNewspaperNewspaper InsertOutdoorPoint of PurchaseRadioShopperSpecialty ItemStatement StufferTVTrade MagazineWeekly NewspaperYellow Pages
Advertising Specifications
-Manufacturer's products only; no omnibus ads.-No competing products.-All advertising requires prior approval.-Prior approval required for advertising material not supplied by manufacturer.-Products must be illustrated.-Manufacturer's logo required.-Trademark name must be prominent.-Logo prominent.
Media Requirements
-All Media: prior approval for self-produced ads; prior approval required
Advertising Aids
CD-ROM; Camera-ready ads; Electronic Artwork; Print elements; Printed Matter
Reimbursement Method
Check; Credit memo
Claim Documentation
-All Media: debit memo or invoice from advertiser-Newspaper: full page tearsheet; paid media invoice-Radio: paid media invoice; script; station affidavit-TV: paid media invoice; script; station affidavit
Claim Address
260 Cannon St.
Green Island, NY 12183
Personnel
Ad Aid Contact
Erin Vaughn
Toll Free: (800) 223-0180",107,"Silhouette Optical, Ltd.","01/31",50,"2482-1","2009-05-18 17:46:37","2009-05-18 17:48:12"
